0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837,755673.1574738837
820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163,820605.1995615163
862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679,862973.914071679
893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702,893357.9302575702
916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667,916511.4918785667
934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505,934917.7935124505
950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522,950013.0127089522
962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772,962691.6178578772
973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005,973542.9966594005
982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883,982973.140199883
991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559,991271.928564559
998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233,998652.561057233
1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595,1005275.7889245595
1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485,1011265.4119627485
