0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
-0.102673247;-0.107154484;-0.109915563;-0.112664366;-0.114835957;-0.116482461;-0.124145222;-0.132968706;-0.143029729;-0.160616289;-0.177637956;-0.2031012;-0.251157442;-0.273295277;-0.272727832;-0.267483212;-0.218507916;-0.079958033;0.071467669;0.225375604
-0.08928102;-0.093029076;-0.09528014;-0.097699755;-0.099644304;-0.101172219;-0.107690357;-0.115388448;-0.123965914;-0.138911909;-0.153403252;-0.174899432;-0.198426884;-0.200557812;-0.175804522;-0.130261558;-0.032798413;0.052046142;0.163268093;0.293240808
-0.076318472;-0.07919718;-0.081172124;-0.083153395;-0.084823707;-0.086322794;-0.091915429;-0.098216393;-0.105489444;-0.118130808;-0.129832282;-0.147512505;-0.147649914;-0.130042748;-0.086174635;-0.014040586;0.042810523;0.116471744;0.218785536;0.339151508
-0.063683461;-0.065762967;-0.067383109;-0.069054217;-0.07057326;-0.071604746;-0.076226984;-0.081587886;-0.087823038;-0.097815929;-0.106953065;-0.120319218;-0.098742458;-0.062613364;-0.00785326;0.036753307;0.093312873;0.164407969;0.259278133;0.369663013
-0.051619623;-0.052740637;-0.053662111;-0.055088365;-0.0561796;-0.057511609;-0.060968479;-0.064973626;-0.070171194;-0.077797031;-0.084469445;-0.091243544;-0.047830102;-0.005707568;0.033383556;0.076474746;0.131259872;0.200513465;0.293252055;0.394714317
-0.040148673;-0.040264855;-0.040805717;-0.041469947;-0.042329613;-0.04377105;-0.045765424;-0.048990522;-0.052742197;-0.058086638;-0.062042898;-0.052266853;-0.004247904;0.024686094;0.063625602;0.108768554;0.163671851;0.231721613;0.316898036;0.415345425
-0.029068065;-0.029112254;-0.029517286;-0.029741661;-0.030101339;-0.031074151;-0.03216017;-0.03338957;-0.035519684;-0.038029384;-0.038127277;-0.004056564;0.021901699;0.049401318;0.088204039;0.134546727;0.188203493;0.254057511;0.338365188;0.431002816
-0.016328121;-0.016338537;-0.016481634;-0.016548697;-0.016768533;-0.016859729;-0.017211383;-0.017476343;-0.017647315;-0.017646075;-0.012917877;0.007990937;0.034224984;0.067141198;0.107467219;0.155148497;0.209919037;0.275547784;0.354977861;0.445001717
0.00190159;0.00163041;0.001425057;0.001530276;0.00197959;0.001817811;0.000637188;0.001844639;0.002089267;0.003855389;0.005961566;0.013056553;0.03503318;0.072964204;0.119415867;0.17066139;0.227136008;0.290970141;0.368651319;0.455993528
0.017974599;0.018104035;0.018123365;0.017581534;0.018033141;0.017956657;0.018104277;0.018403071;0.018678958;0.020133257;0.022016918;0.025069333;0.035242281;0.067595037;0.121290413;0.180182524;0.239759203;0.305514754;0.381549067;0.465778194
0.030884675;0.03101213;0.031199936;0.031102973;0.031042024;0.031167605;0.031309017;0.031166155;0.032617519;0.034109343;0.035940409;0.039844801;0.046133571;0.061680769;0.111802969;0.181404344;0.248887168;0.316165349;0.391944308;0.474227831
0.040920459;0.041116688;0.041002495;0.041002718;0.040757536;0.041220604;0.041188015;0.04226497;0.042925734;0.045138079;0.047820954;0.052224986;0.059081108;0.068807856;0.098126983;0.172229232;0.25151664;0.324662504;0.400943604;0.481637749
0.047185714;0.047309679;0.047399861;0.047614961;0.047799811;0.048185826;0.048729499;0.049752598;0.051202423;0.053638254;0.057032728;0.062431237;0.069924918;0.080063111;0.09588452;0.153980942;0.246194051;0.328776286;0.407688014;0.488188939
0.050825165;0.050957032;0.051153297;0.051445295;0.051879372;0.052523831;0.053478734;0.054889354;0.056963371;0.059989786;0.064352205;0.070519977;0.078991997;0.090174908;0.104328944;0.137200379;0.23102741;0.327591323;0.412183283;0.493283053
