0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
685563.4814764208,794993.2449725212,894789.2079810689,698910.3565194879,889231.4233741018,578904.378211206,820392.7933788579,848878.8773671333,684843.83596514,636755.9966800086,827189.6682407162,784677.8199611541,662365.6990569953,646405.7811421833,660549.8532514633
685570.5732633125,794998.3290736855,894791.9801902372,698918.4789067309,889234.7389991875,578917.3608517122,820398.7036763781,848884.2433536274,684856.8395655779,636306.2241893583,827204.0970355049,784741.7403264423,662420.0420149113,646405.7811421833,660549.8532514633
685579.8273422455,795006.1072870903,894795.851328618,698930.1921023079,889239.2972031572,578935.5685267189,820406.8421159629,848891.8753122746,684875.4320077598,635642.546928537,827227.4887115111,784909.5540004997,661939.1753229704,646405.7811421833,660549.8532514633
685594.787144063,795016.2634452428,894801.5439390087,698947.5590776197,889245.9973823794,578962.9551016926,820419.1341222647,848903.4554284645,684904.4349503814,634523.9155485837,827272.6807860464,784990.7107718602,661380.6078916339,646405.7811421833,660549.8532514633
685614.4640472041,795033.0238466396,894811.8994924715,698975.4379321951,889257.1509627546,579007.8071349022,820439.4291483,848922.5481293718,684956.176924055,632357.0964279051,827393.7657455826,554399.795912479,732592.8778816017,646405.7811421833,660549.8532514633
685647.218906617,795060.3866526235,894828.533068582,699029.3130849248,889278.350236461,579094.7495814741,820479.484007452,848962.687873244,685073.6544097366,626129.166525593,827463.2388636936,555831.9520639963,732821.0569401784,646405.7811421833,660549.8532514633
685704.0556185037,795116.6644547237,894866.2736200707,699169.8562737985,889335.3996163234,579329.4804243497,820594.1986834877,849095.0094493127,685562.607152116,488023.0261590637,455671.58691620384,740743.0637402963,732256.2893576596,646405.7811421833,660549.8532514633
685806.7422349437,795249.1109732462,894988.2744168211,699770.465655667,889694.3071845013,581586.6484071814,822463.9959477324,856917.4040742146,454860.75927975704,510934.9064760978,551383.1878185787,555841.7772455317,732224.3523582174,646405.7811421833,660549.8532514633
685990.3992217757,795621.0557805931,895567.6874806439,705833.6320739274,894614.3328425691,820080.6066210747,457806.7419992819,698748.5576424057,867566.8132704073,852851.8266836709,452869.95528661157,651895.2968879674,732927.62754102,646405.7811421833,660549.8532514633
686323.4461133196,796647.4597131928,897362.8536917432,780785.4850448831,804722.136720424,448165.4352444904,425253.2600130121,848512.3563528238,778615.1894822821,597066.1707697709,792328.7418484297,796383.284766189,733012.2217444303,646405.7811421833,660549.8532514633
686857.8499389876,799561.6624269366,115327.69005026763,369376.9028316759,450172.31952008686,577328.9938734329,529783.3145320751,801995.5689588888,833930.8523429154,636581.91583791,656292.2635568997,797848.8382394142,732746.9019168247,646405.7811421833,660549.8532514633
687478.919550566,805399.5518669902,336797.2858940984,555209.985377729,872959.5700140101,120072.06982835216,839946.5462851226,862751.6177365761,802219.6105189964,780465.5545258516,817911.2333667802,684403.9880439369,732910.7738802093,646405.7811421833,660549.8532514633
687054.2875715746,804724.4713624443,47928.08276397077,783172.1408242891,521231.0033107413,452304.5606854184,647286.0300043109,806963.2183591928,836658.1913916271,443805.8610586942,534674.2420442486,792559.500177469,732151.450427179,646405.7811421833,660549.8532514633
680907.7506250975,744661.4914550479,618459.7754826301,495209.1423981689,901320.179141594,710655.5203349078,879746.9708258419,864707.1865352655,566838.5953768305,864801.8960390604,448682.6443376864,800963.2669872608,733036.9239403185,646405.7811421833,660549.8532514633
