0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.0007411070162236465,-0.0007408811671648059,-0.00074048978167251,-0.0007398821008042314,-0.0007389596861821445,-0.0007375609099096846,-0.0007354324542018386,-0.0007321939341182962,-0.0007273123031109654,-0.0007200711452791896,-0.0007094560551581155,-0.0006939132225618643,-0.0006709093591033585,-0.0006360417630412365,-0.0005820212979829216,-0.0010326664142456558,-0.0013317120413536988,-0.0014157058430077467,-0.0013131279369973893,-0.0019116133404335003
-0.0008157762784121551,-0.000815397927837863,-0.0008147929813619231,-0.0008138750461782945,-0.0008124968223735381,-0.0008104287859421445,-0.0008073233928465035,-0.0008026730333923298,-0.000795782894435465,-0.0007857548198633932,-0.000771427280851532,-0.0007512799846950322,-0.000723346892433847,-0.0006851187098137826,-0.0006333960992968898,-0.0005636127162180682,-0.00046610892210673625,-0.0007344528281538788,-0.0009524497105472506,-0.0008495267334077874
-0.0007955468460258155,-0.0007950608701483237,-0.0007943027855247401,-0.0007931607313421788,-0.0007914519289141011,-0.000788896619814725,-0.0007850761784409495,-0.0007793841317141384,-0.0007709925347060772,-0.000758833331943937,-0.0007415474086249715,-0.0007174219232937299,-0.0006843769168737783,-0.0006400094803606562,-0.0005817288149571618,-0.0005068260498513636,-0.00041155658562696314,-0.00028555461361257084,-0.0005905560321959793,-0.0006238982214042017
-0.000695363389088801,-0.0006948888155928296,-0.0006941466045655731,-0.0006930274372450561,-0.0006913518625669027,-0.0006888444652528468,-0.0006850920724157394,-0.000679494393234621,-0.0006712289837986728,-0.0006592292845042722,-0.0006421275742204903,-0.0006181843377124139,-0.0005852715417899953,-0.0005409364792492237,-0.00048261941696782235,-0.0004079633396232756,-0.00031466082827515986,-0.0001981363053366117,-4.009666156695388e-05,-0.000389702812544716
-0.0005819430743573102,-0.000581514468149056,-0.0005808374573986419,-0.0005798134650678316,-0.0005782778992044425,-0.0005759761292891681,-0.0005725239007301382,-0.0005673601402063491,-0.0005597131673067972,-0.0005485771386493355,-0.0005326472121773389,-0.0005102314971927461,-0.00047920771197119657,-0.00043706341846761875,-0.00038112761525812937,-0.00030899810403054503,-0.0002187558755251508,-0.00010793986951930772,3.249638874699978e-05,-0.00015245960433593522
-0.0004787782741488496,-0.000478396228710448,-0.0004777853702203858,-0.0004768580842141484,-0.0004754650404001462,-0.00047337314418622613,-0.0004702284823579926,-0.00046551192054813245,-0.00045850768800317183,-0.0004482800774511309,-0.00043360344687500734,-0.0004128592114165711,-0.0003839645855505929,-0.00034437662329560607,-0.00029130354557479685,-0.00022218161349606396,-0.00013510289953683457,-2.8446136598325213e-05,0.00010232771585320325,0.00028057697864361693
-0.00038842990696412655,-0.0003880892067817577,-0.00038753703817645676,-0.00038669559482669896,-0.0003854292031615898,-0.00038352413338438914,-0.0003806539756273128,-0.0003763380806690586,-0.00036991294046830037,-0.00036051033080513315,-0.0003469846988777166,-0.00032779935356057723,-0.0003009315678701688,-0.00026383958759073354,-0.00021363767149140764,-0.0001475791879726688,-6.360889493844859e-05,3.960999483036947e-05,0.00016445540372860609,0.0003241343428429175
-0.00030903124886093477,-0.00030872656532980006,-0.000308225468284061,-0.0003074587396856386,-0.00030630267025796875,-0.0003045605519538332,-0.00030193029715107453,-0.0002979656054078474,-0.00029205025554859045,-0.0002833783814107314,-0.000270881125572883,-0.0002531056780701664,-0.00022810184354150713,-0.00019335560738401297,-0.00014592217534326653,-8.288861322929865e-05,-1.990636932599002e-06,9.810222566057972e-05,0.00021871255037033202,0.0003669280261550086
-0.00023847585080688473,-0.00023820261675124596,-0.0002377460106588224,-0.00023704436539355976,-0.0002359844542607717,-0.00023438451393318325,-0.00023196391277789706,-0.00022830686998921167,-0.00022283962341655504,-0.00021481320783764326,-0.00020323066478576354,-0.00018672178055727565,-0.00016341577245898315,-0.00013084643199966954,-8.604322765736003e-05,-2.5958442867515634e-05,5.189330447962458e-05,0.0001489806211424794,0.0002661467046356659,0.0004070823366637624
-0.00017508501160454128,-0.00017483929163804193,-0.00017442161949999678,-0.0001737769272055639,-0.00017280120032811595,-0.00017132583750197115,-0.00016908917538164723,-0.0001657025686874539,-0.00016063032029555168,-0.0001531751189169643,-0.00014240665820603642,-0.00012703420118245182,-0.00010526925929382324,-7.470746875947983e-05,-3.238079328546665e-05,2.4857942973463727e-05,9.970125647235442e-05,0.00019382618099687485,0.0003079204772654335,0.0004437820965893773
