0,1,2,3,4,5,6,7,8,9
-0.12168285194531796,-0.11925955126100957,-0.11546489702263131,-0.10935252154055888,-0.09638193918050424,-0.07878379265798874,-0.03178912188311466,-0.00011195511812273046,0.003104924785967857,0.006110403916729383
-0.10978561648570663,-0.10617736602972196,-0.10099531567062943,-0.09111481513570863,-0.06952946522237385,-0.040455515349819025,-0.001892015754063975,0.0017860912834983076,0.005029749497940693,0.008124184677756505
-0.09829225748661077,-0.09358269647117469,-0.0864039625513861,-0.07179508639269613,-0.04680206628015789,-0.0028208545130019805,0.002979933802439256,0.006984171894099653,0.010660719436984894,0.014058121286741934
-0.08724121259830424,-0.0814002319710628,-0.07176137374964339,-0.05229361013518553,-0.015321256062616853,-0.00028389520437829753,0.004137469656063637,0.009001328481694092,0.01281160225499009,0.01646832499955589
-0.07662197482662,-0.0697445547727345,-0.057051108253924385,-0.029470674510504762,-0.0013994825916896607,0.0034613530495124605,0.00798749200343495,0.012087043295607157,0.015768325516354577,0.01920912040177701
-0.06631409781861282,-0.05824563356582986,-0.04309932296521274,-0.0027733724364535266,0.003186511418629406,0.008266769565504173,0.012910622757240618,0.01697477228084262,0.020757574864082678,0.024339845108718436
-0.0563887311758005,-0.04712872404728778,-0.02914556760071755,-0.0020103706742719478,0.004034404737295118,0.009376840183681255,0.014145123599076102,0.018426999816741885,0.02242799203240725,0.026071204538627143
-0.0467452367738183,-0.03617776596208081,-0.011465778185837862,0.0017244934323096034,0.007788092031294862,0.013174289917633903,0.01805234256974227,0.02238046892865321,0.02637532904327956,0.029945776772504706
-0.0373590159926941,-0.02531071266778341,-0.00075635820981524,0.0061788224505546505,0.012406599082763203,0.017915413616870757,0.02278397885939337,0.027171183996953976,0.031113344768016957,0.03471409563228433
-0.02825890735383874,-0.016130038433461485,-0.0004128220331128458,0.011394894927546419,0.017792736177107412,0.02344504904627582,0.028347424901343576,0.03269693838843842,0.03655414014788288,0.04005939616334895
-0.019397752228047484,-0.007053114807577116,0.0030450364111825135,0.010194317157541013,0.016645501926631667,0.022368666738256486,0.027360942817373227,0.031744948598047974,0.03565144005404721,0.039197733356624936
-0.01074673872222096,8.235941213583039e-05,0.0084115069985167,0.015971135372158444,0.022600102113032084,0.02831644475517857,0.03325769863689512,0.03758862999702647,0.04144114960307253,0.04490922815172165
-0.002521242715800428,0.007242209435652833,0.016377561457352852,0.024397866154746782,0.031187292254307736,0.036891585922689055,0.0417453417298588,0.04595275450480158,0.04968724796790193,0.05304959796061834
0.005409643353731205,0.01662541239057304,0.026759303390121378,0.035223899310725316,0.042078505962642926,0.04768426454645523,0.05239204307046099,0.05645319503320672,0.06003436588233551,0.06324667632503554
