0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
580290.6739993192,664051.4141955272,827544.1166299911,647360.4202500297,792816.2658059926,225438.4299194074,277206.3519914005,348974.72987356165,391309.083389797,853174.3929467723,492777.05885519215,761290.1530091732,661665.8030513516,606594.836792513,574880.1383278365
302447.7439313694,844441.1579396245,893407.939913556,761745.4491033022,803516.2369991502,892247.1369278284,710268.8820300316,193429.4399517747,256420.3878088884,333841.2407760286,799484.1420399144,797229.7209635742,732960.9913734447,761922.3314351032,685609.079256981
503608.98462616577,752471.7800628438,746471.860053059,790673.913668316,328255.023751084,759025.5276226071,271131.5379263383,756719.1755521554,619983.570247086,832160.0607104858,456112.9946754788,659060.0797067916,732413.4799384654,753879.7717319385,766563.7828644164
865505.3576663423,838571.6594863377,860398.3135529256,386571.58959099266,330799.86033522314,775081.086068216,317473.37864935247,835246.9092132263,612617.9519499657,630135.8353850493,834106.5067590446,548609.7303000649,732646.4672753458,733264.6849521814,766209.7143539316
92417.76977305877,883275.4357618021,750771.9174569447,573488.9956485406,493252.8089724976,759379.499093846,295557.2354178104,748475.6215983583,871415.3374863518,497628.00931993255,451732.35920259246,592800.0272444796,693662.647290671,731344.3834681974,745225.4679325472
281157.66788549226,741252.3150185177,888118.5531470575,391636.342186703,643150.0324170433,236103.70207673495,164248.70296089546,725562.9331629735,785979.3026486686,678880.4496841143,443964.35123926576,734378.5412147784,662728.8440502763,744696.4631363854,728046.6706726961
425420.07785300456,702423.0346563384,781641.1599468405,818018.2137105733,731174.6735332718,819946.0508705253,706118.3155852417,870916.8459911325,432633.60266672727,779682.318943853,747481.4874066799,556509.8935433517,662020.9144408258,755742.8680535901,717240.64009703
615602.06750507,789941.8638239524,567626.159448205,111939.07948309134,577142.0026750709,886015.7651666678,856731.0674781593,666639.8555372271,289004.3148746886,785724.6427995104,664412.6719125565,683532.372314558,662041.4756734634,763089.7150923086,710055.9482892225
170029.77390749083,462929.87789017614,870760.6513946189,537641.5123561556,305095.61144738,880278.0548092541,801467.1345417618,573471.4693707041,859262.1844405329,799446.7433274696,727298.9831148067,552280.2532586976,662725.9935676102,762254.5222512819,707442.1113786276
721541.8672160308,758411.5964267041,349398.0738867194,685352.417233319,628953.7313150447,314786.08515134436,695105.4445588579,881008.3729829579,282188.5002874825,468329.87414785184,833150.1374688332,796071.2707642366,661767.404373442,761957.2926621558,707407.814291957
870749.115510682,818776.6653583611,115548.32047455541,70254.55263010736,581614.2334450488,698654.4966549901,524415.4836874639,550426.5214357289,850338.8133557683,835412.4976809556,814876.4215758921,797671.6669485595,661413.4066551349,761974.8661899028,710614.8775970244
338758.9674217927,821534.9752044692,765920.228580082,161156.66879477992,824258.0405526918,120091.61924567242,841257.3977555118,840783.8706696144,616767.0204601025,355265.58013029257,820880.0773979339,553149.9063194306,661487.2394504319,762017.6312803025,712756.8748832284
455336.4354734746,687607.9846339384,880753.7936404645,805739.351923818,705621.3079259548,749245.4046963197,878334.8872127421,390356.2288532959,522520.44642984774,845961.3668023397,829209.5698694971,552864.2508205944,732341.1577696614,762254.6260520655,716058.0233953883
436622.3356444895,190868.4846849384,908674.8557407553,67905.24606639081,877261.2799806683,746980.2444434294,155601.6735927093,231719.5654949394,863537.1586329462,652703.829290597,840547.113163224,800864.7629049015,732527.8736676614,762384.8195325967,720444.9459193664
