0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
418229.12938895787,684662.9861945019,355726.0042820752,781624.2218341636,678781.6566738277,123461.22639280134,887546.7783000506,361681.0203448824,855427.0424886139,794047.0357767006,791802.8426255044,636919.7731480226,732391.8590405078,664399.523898891,751063.2532136915
286818.9770758328,835096.7389858745,284687.5156386096,634203.2111051907,445106.607956812,894489.3077235089,749152.8296297371,744933.024061942,648283.8813226214,423707.53975054657,456888.00212122337,547053.2578686264,732391.8590405078,664399.523898891,751063.2532136915
849291.8059527169,380116.50073263026,410720.9708463667,775049.2896319804,540826.2208821352,435050.508673818,573272.116173073,686768.0874304731,776173.9000084047,361051.8021901194,578524.571119875,570516.9970039066,732391.8590405078,664399.523898891,751063.2532136915
722133.4036813774,755473.3326174864,772991.8387275838,850231.1670776047,719811.82043573,846545.8065472927,356544.9423290957,302231.0331130659,295851.8645631493,461658.61792208604,658773.776195182,559179.6844460238,732391.8590405078,664399.523898891,751063.2532136915
114924.87563979757,803855.754333017,393841.60448180087,503093.83353732293,112371.71925574659,866895.3392454949,552741.7076208855,844295.9120387131,323090.76472732855,813416.4050243914,467951.45131188724,798869.6691268922,732391.8590405078,664399.523898891,751063.2532136915
579468.7417026283,76226.017991669,381768.1234394127,681371.6891243444,793215.8431711784,631188.6464199545,829001.1207276229,697302.721649064,362021.53129268024,707758.0347964028,686840.6421163143,660680.1446946948,732391.8590405078,664399.523898891,751063.2532136915
148083.71461404802,580115.8604735285,706462.5685258819,760675.659964127,613990.7645087801,758899.833316773,529756.3156590391,827771.9382699276,757859.2262219613,784397.3133550663,822705.808143663,706617.6264127992,732391.8590405078,664399.523898891,751063.2532136915
647890.8211706219,826142.7733438787,656849.9112777053,345980.0203588704,722493.9210402194,272625.04567721457,881848.901944062,761620.5303881764,366322.201863035,365179.6854196141,828587.0681618518,748200.8418070029,732391.8590405078,664399.523898891,751063.2532136915
640769.0334665019,761884.165348857,860752.2605363503,765216.2825283025,656730.0953577159,529027.7469655671,221832.1649232209,780868.990518097,460593.9943259803,429315.67359993886,780381.188034218,794968.1621515932,732391.8590405078,664399.523898891,751063.2532136915
272391.29719776765,366431.0446966115,798021.792842758,163185.69692290112,870377.1699806724,766966.6566334907,857597.181073247,507128.6738720564,712385.2377487542,811011.6158265264,662192.8164692014,708347.7958524972,732391.8590405078,664399.523898891,751063.2532136915
753369.6505378236,664744.6856895521,808716.6159873734,778912.5005793535,165110.33081637064,373241.80948630336,338412.34472885693,555292.4523501308,622321.3514794684,555752.0164542058,486933.77363048843,555186.5230363976,732391.8590405078,664399.523898891,751063.2532136915
30063.174733513148,729008.343192287,642187.6404202636,865565.893221185,719586.3747054028,839958.9039871346,725802.8438560283,705393.4932543149,315141.91221729165,842803.1972336941,651872.8680873732,786357.2764113573,732391.8590405078,664399.523898891,751063.2532136915
440227.52595189196,671665.772832513,875025.0618896249,788589.2062839027,664579.896292396,701499.4769873775,845649.9256628025,208609.78014372353,298567.0087243002,828082.7589223896,782889.9294492521,553466.0670368781,732391.8590405078,664399.523898891,751063.2532136915
629408.1923960217,460919.67375967326,264452.4876419757,351937.1430527079,905988.335877148,809254.7050471108,251048.80812985933,328567.6772898139,866749.8703859572,609217.368575698,830021.137849926,801119.0907922578,732391.8590405078,664399.523898891,751063.2532136915
