20;20;20;20;20;20;30.83333333;52.5;63.33333333;74.16666667;85;139.1666667
20;20;20;20;20;20;30.83333333;63.33333333;74.16666667;85;95.83333333;139.1666667
20;20;20;20;20;20;41.66666667;63.33333333;74.16666667;85;95.83333333;150
20;20;20;20;20;20;41.66666667;63.33333333;74.16666667;85;95.83333333;150
20;20;20;20;20;20;41.66666667;63.33333333;85;95.83333333;106.6666667;150
20;20;20;20;20;20;41.66666667;63.33333333;85;95.83333333;106.6666667;150
20;20;20;20;20;20;41.66666667;74.16666667;85;95.83333333;106.6666667;150
20;20;20;20;20;20;41.66666667;74.16666667;85;95.83333333;117.5;150
20;20;20;20;20;20;41.66666667;74.16666667;95.83333333;106.6666667;117.5;150
20;20;20;20;20;20;41.66666667;74.16666667;95.83333333;106.6666667;117.5;150
